Actual Label,Predicted Label,Video Path,Video ID,Sampling Strategy,Video Index,First Correct Frame,Correct
sword fighting,sword fighting,kinetics-dataset/val/sword fighting/WGztQjJ0aMU_000010_000020.mp4,WGztQjJ0aMU,theoretical-best,4680,[180],True
knitting,knitting,kinetics-dataset/val/knitting/-neqpygEoXs_000026_000036.mp4,-neqpygEoXs,theoretical-best,121,[10],True
peeling apples,peeling apples,kinetics-dataset/val/peeling apples/64YG9guik-A_000003_000013.mp4,64YG9guik-A,theoretical-best,4024,[0],True
tying bow tie,tying bow tie,kinetics-dataset/val/tying bow tie/Rqn7ujRjVGc_000126_000136.mp4,Rqn7ujRjVGc,theoretical-best,5353,[110],True
swinging on something,swinging on something,kinetics-dataset/val/swinging on something/6yNJjyoC22c_000140_000150.mp4,6yNJjyoC22c,theoretical-best,4265,[65],True
peeling apples,cutting pineapple,kinetics-dataset/val/peeling apples/8qEAQXckcVw_000003_000013.mp4,8qEAQXckcVw,theoretical-best,4014,[],False
playing chess,playing chess,kinetics-dataset/val/playing chess/WY9TXZ2ODgw_000150_000160.mp4,WY9TXZ2ODgw,theoretical-best,6107,[115],True
passing American football (not in game),catching or throwing softball,kinetics-dataset/val/passing American football (not in game)/9c7mU3hyLLw_000000_000010.mp4,9c7mU3hyLLw,theoretical-best,365,[],False
somersaulting,capoeira,kinetics-dataset/val/somersaulting/l2_Da-CMPfY_000079_000089.mp4,l2_Da-CMPfY,theoretical-best,3443,[],False
motorcycling,motorcycling,kinetics-dataset/val/motorcycling/BFSI1GSWZF0_000020_000030.mp4,BFSI1GSWZF0,theoretical-best,7046,[50],True
bee keeping,bee keeping,kinetics-dataset/val/bee keeping/ZD_3TaMjndQ_000334_000344.mp4,ZD_3TaMjndQ,theoretical-best,4941,[130],True
cutting nails,cutting nails,kinetics-dataset/val/cutting nails/OXS6hlNV2eg_000000_000010.mp4,OXS6hlNV2eg,theoretical-best,3126,[15],True
cleaning floor,cleaning floor,kinetics-dataset/val/cleaning floor/j3eBeMg2pgg_000001_000011.mp4,j3eBeMg2pgg,theoretical-best,2323,[5],True
shaving head,shaving head,kinetics-dataset/val/shaving head/o_cPPSEheYw_000171_000181.mp4,o_cPPSEheYw,theoretical-best,5529,[0],True
drumming fingers,washing dishes,kinetics-dataset/val/drumming fingers/4Px7UHxwM50_000075_000085.mp4,4Px7UHxwM50,theoretical-best,2148,[],False
side kick,side kick,kinetics-dataset/val/side kick/MxQ27tAD7wU_000000_000010.mp4,MxQ27tAD7wU,theoretical-best,3742,[20],True
juggling balls,juggling balls,kinetics-dataset/val/juggling balls/NHITrFTUvMw_000002_000012.mp4,NHITrFTUvMw,theoretical-best,1089,[210],True
crawling baby,crawling baby,kinetics-dataset/val/crawling baby/CR_3tjerNNs_000041_000051.mp4,CR_3tjerNNs,theoretical-best,3073,[30],True
sneezing,crying,kinetics-dataset/val/sneezing/Ij_3UvY3b8E_000000_000010.mp4,Ij_3UvY3b8E,theoretical-best,362,[],False
climbing a rope,climbing a rope,kinetics-dataset/val/climbing a rope/NfH4FZhrtvE_000002_000012.mp4,NfH4FZhrtvE,theoretical-best,4775,[0],True
shaving legs,shaving legs,kinetics-dataset/val/shaving legs/B_E-eRN3FQQ_000121_000131.mp4,B_E-eRN3FQQ,theoretical-best,33,[75],True
biking through snow,biking through snow,kinetics-dataset/val/biking through snow/TRy89BWatRQ_000003_000013.mp4,TRy89BWatRQ,theoretical-best,1597,[0],True
eating watermelon,eating watermelon,kinetics-dataset/val/eating watermelon/p2s5fet6Xu0_000068_000078.mp4,p2s5fet6Xu0,theoretical-best,4393,[0],True
applying cream,applying cream,kinetics-dataset/val/applying cream/K0RAdmpnfuc_000109_000119.mp4,K0RAdmpnfuc,theoretical-best,2999,[5],True
using remote controller (not gaming),answering questions,kinetics-dataset/val/using remote controller (not gaming)/hu2dBJTGJqI_000012_000022.mp4,hu2dBJTGJqI,theoretical-best,6324,[],False
balloon blowing,balloon blowing,kinetics-dataset/val/balloon blowing/8MinkHHzHRo_000018_000028.mp4,8MinkHHzHRo,theoretical-best,1967,[45],True
cracking neck,cracking neck,kinetics-dataset/val/cracking neck/CC3oPUeWhsY_000000_000010.mp4,CC3oPUeWhsY,theoretical-best,5461,[100],True
feeding fish,feeding fish,kinetics-dataset/val/feeding fish/Yj0plszqblU_000023_000033.mp4,Yj0plszqblU,theoretical-best,4497,[45],True
skiing slalom,snowboarding,kinetics-dataset/val/skiing slalom/gfux7QZsXGg_000172_000182.mp4,gfux7QZsXGg,theoretical-best,3571,[],False
spinning poi,juggling fire,kinetics-dataset/val/spinning poi/7LOtcLB5-VA_000079_000089.mp4,7LOtcLB5-VA,theoretical-best,3850,[],False
headbanging,headbanging,kinetics-dataset/val/headbanging/GNKAiDaDBug_000005_000015.mp4,GNKAiDaDBug,theoretical-best,532,[215],True
eating hotdog,eating hotdog,kinetics-dataset/val/eating hotdog/CZezk_EbMOY_000107_000117.mp4,CZezk_EbMOY,theoretical-best,5349,[125],True
climbing a rope,climbing a rope,kinetics-dataset/val/climbing a rope/6Lz09qQhHkM_000001_000011.mp4,6Lz09qQhHkM,theoretical-best,4788,[105],True
plastering,spray painting,kinetics-dataset/val/plastering/RTVJWp5Nu-s_000152_000162.mp4,RTVJWp5Nu-s,theoretical-best,2659,[],False
cooking sausages,air drumming,kinetics-dataset/val/cooking sausages/fXb_RVaU_MA_000328_000338.mp4,fXb_RVaU_MA,theoretical-best,6914,[],False
zumba,zumba,kinetics-dataset/val/zumba/hhUoOAyFy38_000008_000018.mp4,hhUoOAyFy38,theoretical-best,1281,[175],True
waxing back,waxing back,kinetics-dataset/val/waxing back/_3yfcMBAA38_000415_000425.mp4,_3yfcMBAA38,theoretical-best,6899,[40],True
drinking shots,drinking shots,kinetics-dataset/val/drinking shots/0fmNdKx4cdI_000003_000013.mp4,0fmNdKx4cdI,theoretical-best,1837,[245],True
jogging,jogging,kinetics-dataset/val/jogging/ib0dw8th6To_000634_000644.mp4,ib0dw8th6To,theoretical-best,4068,[180],True
moving furniture,moving furniture,kinetics-dataset/val/moving furniture/kZqDYyL1lSU_000002_000012.mp4,kZqDYyL1lSU,theoretical-best,5389,[275],True
recording music,grinding meat,kinetics-dataset/val/recording music/bOsf8_M68wY_000014_000024.mp4,bOsf8_M68wY,theoretical-best,590,[],False
finger snapping,high kick,kinetics-dataset/val/finger snapping/UY9HKmdXMvQ_000000_000010.mp4,UY9HKmdXMvQ,theoretical-best,7005,[],False
windsurfing,windsurfing,kinetics-dataset/val/windsurfing/HmCUN62Nke0_000201_000211.mp4,HmCUN62Nke0,theoretical-best,663,[0],True
tap dancing,skateboarding,kinetics-dataset/val/tap dancing/j8IT6xN6D8g_000043_000053.mp4,j8IT6xN6D8g,theoretical-best,1226,[],False
watering plants,watering plants,kinetics-dataset/val/watering plants/qz6CfMERMoo_000015_000025.mp4,qz6CfMERMoo,theoretical-best,3149,[100],True
shooting basketball,bowling,kinetics-dataset/val/shooting basketball/0MG3pzym-G8_000002_000012.mp4,0MG3pzym-G8,theoretical-best,3065,[],False
washing hands,washing dishes,kinetics-dataset/val/washing hands/csvKH6nmf3Q_000004_000014.mp4,csvKH6nmf3Q,theoretical-best,6353,[],False
digging,welding,kinetics-dataset/val/digging/hBMLJRNjjso_000008_000018.mp4,hBMLJRNjjso,theoretical-best,791,[],False
auctioning,auctioning,kinetics-dataset/val/auctioning/JzAYnk-gf4Y_000045_000055.mp4,JzAYnk-gf4Y,theoretical-best,1362,[30],True
dining,barbequing,kinetics-dataset/val/dining/p-RsInF3YVc_000307_000317.mp4,p-RsInF3YVc,theoretical-best,3549,[],False
salsa dancing,salsa dancing,kinetics-dataset/val/salsa dancing/RwnXuIanfE0_000231_000241.mp4,RwnXuIanfE0,theoretical-best,3392,[0],True
doing laundry,folding clothes,kinetics-dataset/val/doing laundry/QzXRtJjzjzE_000000_000010.mp4,QzXRtJjzjzE,theoretical-best,3650,[],False
breakdancing,breakdancing,kinetics-dataset/val/breakdancing/Y0FJ5-D7cjU_000005_000015.mp4,Y0FJ5-D7cjU,theoretical-best,1175,[85],True
springboard diving,springboard diving,kinetics-dataset/val/springboard diving/YJD5hSb3dJs_000008_000018.mp4,YJD5hSb3dJs,theoretical-best,5056,[180],True
hockey stop,hockey stop,kinetics-dataset/val/hockey stop/hd8jvkRONkU_000006_000016.mp4,hd8jvkRONkU,theoretical-best,4275,[15],True
playing bass guitar,playing bass guitar,kinetics-dataset/val/playing bass guitar/gJFNNbxsCN8_000104_000114.mp4,gJFNNbxsCN8,theoretical-best,1461,[5],True
push up,cleaning floor,kinetics-dataset/val/push up/AmyNuR-wjA4_000034_000044.mp4,AmyNuR-wjA4,theoretical-best,7085,[],False
playing cymbals,dancing macarena,kinetics-dataset/val/playing cymbals/ozRbhJOOHWs_000092_000102.mp4,ozRbhJOOHWs,theoretical-best,2187,[],False
slacklining,walking the dog,kinetics-dataset/val/slacklining/5ViNWQvb0aE_000017_000027.mp4,5ViNWQvb0aE,theoretical-best,6726,[],False
driving car,driving car,kinetics-dataset/val/driving car/5EUF1Xl3DFY_000010_000020.mp4,5EUF1Xl3DFY,theoretical-best,1442,[95],True
using remote controller (not gaming),using remote controller (not gaming),kinetics-dataset/val/using remote controller (not gaming)/YCms_o0pBn4_000020_000030.mp4,YCms_o0pBn4,theoretical-best,6331,[235],True
capoeira,capoeira,kinetics-dataset/val/capoeira/RSaClwb3VtM_000080_000090.mp4,RSaClwb3VtM,theoretical-best,2847,[200],True
getting a haircut,curling hair,kinetics-dataset/val/getting a haircut/J6W_14bno8Y_000103_000113.mp4,J6W_14bno8Y,theoretical-best,3561,[],False
drinking shots,headbanging,kinetics-dataset/val/drinking shots/o1hqepKau4A_000004_000014.mp4,o1hqepKau4A,theoretical-best,1832,[],False
ripping paper,ripping paper,kinetics-dataset/val/ripping paper/4tnMjsQxGoI_000052_000062.mp4,4tnMjsQxGoI,theoretical-best,5837,[120],True
sneezing,sneezing,kinetics-dataset/val/sneezing/EUrok22l2lg_000037_000047.mp4,EUrok22l2lg,theoretical-best,357,[20],True
jetskiing,jetskiing,kinetics-dataset/val/jetskiing/URLxWfi96Os_000029_000039.mp4,URLxWfi96Os,theoretical-best,2716,[0],True
faceplanting,faceplanting,kinetics-dataset/val/faceplanting/-0ew-c0w7uc_000002_000012.mp4,-0ew-c0w7uc,theoretical-best,1987,[0],True
drumming fingers,balloon blowing,kinetics-dataset/val/drumming fingers/LD9gRyLXxFQ_000171_000181.mp4,LD9gRyLXxFQ,theoretical-best,2144,[],False
washing hair,washing hair,kinetics-dataset/val/washing hair/NhRqdRjPuiI_000067_000077.mp4,NhRqdRjPuiI,theoretical-best,3316,[0],True
