Actual Label,Predicted Label,Video Path,Video ID,Sampling Strategy,Video Index,Correct
sword fighting,sword fighting,kinetics-dataset/val/sword fighting/WGztQjJ0aMU_000010_000020.mp4,WGztQjJ0aMU,completely-random,4680,True
grooming horse,grooming horse,kinetics-dataset/val/grooming horse/1RYKyKAYZOQ_000096_000106.mp4,1RYKyKAYZOQ,completely-random,266,True
crying,eating spaghetti,kinetics-dataset/val/crying/IfFZalicJ_U_000001_000011.mp4,IfFZalicJ_U,completely-random,3513,False
spraying,spraying,kinetics-dataset/val/spraying/NPYa_aJXLyk_000435_000445.mp4,NPYa_aJXLyk,completely-random,3953,True
playing ice hockey,playing ice hockey,kinetics-dataset/val/playing ice hockey/7D4VHpfoPak_000053_000063.mp4,7D4VHpfoPak,completely-random,4735,True
knitting,sharpening pencil,kinetics-dataset/val/knitting/-neqpygEoXs_000026_000036.mp4,-neqpygEoXs,completely-random,121,False
pole vault,pole vault,kinetics-dataset/val/pole vault/KmCTA-KaEJw_000037_000047.mp4,KmCTA-KaEJw,completely-random,1688,True
playing accordion,playing accordion,kinetics-dataset/val/playing accordion/fK4kD8fXswE_000037_000047.mp4,fK4kD8fXswE,completely-random,3789,True
crossing river,crossing river,kinetics-dataset/val/crossing river/luTkBLIT6lU_000036_000046.mp4,luTkBLIT6lU,completely-random,6662,True
peeling apples,peeling apples,kinetics-dataset/val/peeling apples/64YG9guik-A_000003_000013.mp4,64YG9guik-A,completely-random,4024,True
reading newspaper,reading newspaper,kinetics-dataset/val/reading newspaper/Dvomn3IAnmk_000041_000051.mp4,Dvomn3IAnmk,completely-random,6746,True
extinguishing fire,extinguishing fire,kinetics-dataset/val/extinguishing fire/bPNxHAVD7tY_000004_000014.mp4,bPNxHAVD7tY,completely-random,2273,True
tying bow tie,tying bow tie,kinetics-dataset/val/tying bow tie/Rqn7ujRjVGc_000126_000136.mp4,Rqn7ujRjVGc,completely-random,5353,True
water skiing,water skiing,kinetics-dataset/val/water skiing/OzLBFd5xw-w_000095_000105.mp4,OzLBFd5xw-w,completely-random,6640,True
wrapping present,wrapping present,kinetics-dataset/val/wrapping present/U-u7LF8VEiQ_000016_000026.mp4,U-u7LF8VEiQ,completely-random,1312,True
massaging back,massaging back,kinetics-dataset/val/massaging back/3sUEgt5XT2s_000099_000109.mp4,3sUEgt5XT2s,completely-random,281,True
swinging on something,swinging on something,kinetics-dataset/val/swinging on something/6yNJjyoC22c_000140_000150.mp4,6yNJjyoC22c,completely-random,4265,True
peeling apples,peeling apples,kinetics-dataset/val/peeling apples/8qEAQXckcVw_000003_000013.mp4,8qEAQXckcVw,completely-random,4014,True
opening present,opening present,kinetics-dataset/val/opening present/KKFHlgwXljM_000011_000021.mp4,KKFHlgwXljM,completely-random,2685,True
shredding paper,shredding paper,kinetics-dataset/val/shredding paper/NKbjNJf6u1o_000061_000071.mp4,NKbjNJf6u1o,completely-random,623,True
blowing glass,blowing glass,kinetics-dataset/val/blowing glass/7JIc6C6ZYfE_000068_000078.mp4,7JIc6C6ZYfE,completely-random,2047,True
playing chess,playing chess,kinetics-dataset/val/playing chess/WY9TXZ2ODgw_000150_000160.mp4,WY9TXZ2ODgw,completely-random,6107,True
riding mechanical bull,riding mechanical bull,kinetics-dataset/val/riding mechanical bull/LFi1ArC2gfE_000061_000071.mp4,LFi1ArC2gfE,completely-random,2958,True
passing American football (not in game),catching or throwing softball,kinetics-dataset/val/passing American football (not in game)/9c7mU3hyLLw_000000_000010.mp4,9c7mU3hyLLw,completely-random,365,False
somersaulting,somersaulting,kinetics-dataset/val/somersaulting/l2_Da-CMPfY_000079_000089.mp4,l2_Da-CMPfY,completely-random,3443,True
motorcycling,riding a bike,kinetics-dataset/val/motorcycling/BFSI1GSWZF0_000020_000030.mp4,BFSI1GSWZF0,completely-random,7046,False
chopping wood,chopping wood,kinetics-dataset/val/chopping wood/51faGoLPJgM_000000_000010.mp4,51faGoLPJgM,completely-random,1136,True
