Actual Label,Predicted Label,Video Path,Video ID,Sampling Strategy,Video Index,Correct
playing tennis,playing tennis,kinetics-dataset/val/playing tennis/R5CWAwtijVI_001618_001628.mp4,R5CWAwtijVI,position_end,5921,True
riding mountain bike,riding mountain bike,kinetics-dataset/val/riding mountain bike/RsKWxtQRseg_000122_000132.mp4,RsKWxtQRseg,position_end,5621,True
skiing (not slalom or crosscountry),skiing (not slalom or crosscountry),kinetics-dataset/val/skiing (not slalom or crosscountry)/5tV4H4r3sDI_000716_000726.mp4,5tV4H4r3sDI,position_end,6444,True
frying vegetables,frying vegetables,kinetics-dataset/val/frying vegetables/-eJVHxmkm-4_000204_000214.mp4,-eJVHxmkm-4,position_end,6279,True
playing recorder,playing recorder,kinetics-dataset/val/playing recorder/bRI6igVE5sU_000035_000045.mp4,bRI6igVE5sU,position_end,7208,True
tap dancing,krumping,kinetics-dataset/val/tap dancing/X7k8twydJIU_000237_000247.mp4,X7k8twydJIU,position_end,1238,False
dancing gangnam style,hugging,kinetics-dataset/val/dancing gangnam style/5sCpQpPVwD0_000028_000038.mp4,5sCpQpPVwD0,position_end,2128,False
shaving head,pumping fist,kinetics-dataset/val/shaving head/SaOe9f3f3Zg_000354_000364.mp4,SaOe9f3f3Zg,position_end,5521,False
playing drums,playing drums,kinetics-dataset/val/playing drums/FzmnCCZXJJs_000169_000179.mp4,FzmnCCZXJJs,position_end,5207,True
jumping into pool,jumping into pool,kinetics-dataset/val/jumping into pool/-2csq_1UhMQ_000002_000012.mp4,-2csq_1UhMQ,position_end,6957,True
throwing discus,throwing discus,kinetics-dataset/val/throwing discus/hseVr8WcD-k_000002_000012.mp4,hseVr8WcD-k,position_end,831,True
beatboxing,busking,kinetics-dataset/val/beatboxing/XAcMiXAKtE8_000004_000014.mp4,XAcMiXAKtE8,position_end,7144,False
opening present,headbanging,kinetics-dataset/val/opening present/1f0Nce2SgOE_000996_001006.mp4,1f0Nce2SgOE,position_end,2682,False
reading book,brushing hair,kinetics-dataset/val/reading book/PsiGCxGW12A_000086_000096.mp4,PsiGCxGW12A,position_end,4693,False
hoverboarding,punching bag,kinetics-dataset/val/hoverboarding/tANnjywlx1w_000023_000033.mp4,tANnjywlx1w,position_end,1387,False
making pizza,blowing glass,kinetics-dataset/val/making pizza/Mknk8iYDx4U_000263_000273.mp4,Mknk8iYDx4U,position_end,221,False
bobsledding,bobsledding,kinetics-dataset/val/bobsledding/-SWFnl5p1Xc_000125_000135.mp4,-SWFnl5p1Xc,position_end,3371,True
disc golfing,disc golfing,kinetics-dataset/val/disc golfing/_owWHGvn_b0_000112_000122.mp4,_owWHGvn_b0,position_end,3332,True
shredding paper,reading newspaper,kinetics-dataset/val/shredding paper/ps78Pxo0u_c_000096_000106.mp4,ps78Pxo0u_c,position_end,614,False
throwing discus,throwing discus,kinetics-dataset/val/throwing discus/E31BW-MAtQg_000002_000012.mp4,E31BW-MAtQg,position_end,845,True
cutting pineapple,cutting pineapple,kinetics-dataset/val/cutting pineapple/_qGGRGs1gmk_000004_000014.mp4,_qGGRGs1gmk,position_end,1024,True
kitesurfing,kitesurfing,kinetics-dataset/val/kitesurfing/_VXQK6qQmrQ_000137_000147.mp4,_VXQK6qQmrQ,position_end,2614,True
belly dancing,belly dancing,kinetics-dataset/val/belly dancing/8Ye63Vtt114_000099_000109.mp4,8Ye63Vtt114,position_end,3886,True
tickling,waxing legs,kinetics-dataset/val/tickling/-i1c-6xhoWk_000000_000010.mp4,-i1c-6xhoWk,position_end,4756,False
walking the dog,walking the dog,kinetics-dataset/val/walking the dog/klt-rafGwIc_000151_000161.mp4,klt-rafGwIc,position_end,3681,True
bobsledding,motorcycling,kinetics-dataset/val/bobsledding/_yi2J3Y3st8_000004_000014.mp4,_yi2J3Y3st8,position_end,3374,False
kicking soccer ball,crawling baby,kinetics-dataset/val/kicking soccer ball/Sz9T02FzLBc_000034_000044.mp4,Sz9T02FzLBc,position_end,1709,False
making jewelry,sniffing,kinetics-dataset/val/making jewelry/YAvhEr0J0K4_000702_000712.mp4,YAvhEr0J0K4,position_end,1636,False
using segway,pushing car,kinetics-dataset/val/using segway/SOX5yA1l24A_000299_000309.mp4,SOX5yA1l24A,position_end,2596,False
weaving basket,weaving basket,kinetics-dataset/val/weaving basket/oD0wHopSNLU_000000_000010.mp4,oD0wHopSNLU,position_end,5123,True
baking cookies,cooking on campfire,kinetics-dataset/val/baking cookies/-514AQUrSow_000058_000068.mp4,-514AQUrSow,position_end,5581,False
playing harmonica,playing harmonica,kinetics-dataset/val/playing harmonica/aBtwsG79BnQ_000004_000014.mp4,aBtwsG79BnQ,position_end,2748,True
jumpstyle dancing,making snowman,kinetics-dataset/val/jumpstyle dancing/FPbfgv79y98_000073_000083.mp4,FPbfgv79y98,position_end,2693,False
crying,crying,kinetics-dataset/val/crying/eKzzadTZ7v4_000001_000011.mp4,eKzzadTZ7v4,position_end,3501,True
playing organ,bending back,kinetics-dataset/val/playing organ/TN_QcKErOD8_000019_000029.mp4,TN_QcKErOD8,position_end,759,False
hitting baseball,dodgeball,kinetics-dataset/val/hitting baseball/3USSmzO001k_000058_000068.mp4,3USSmzO001k,position_end,5141,False
playing clarinet,playing clarinet,kinetics-dataset/val/playing clarinet/7KtJqEQ_PVk_000196_000206.mp4,7KtJqEQ_PVk,position_end,4242,True
hurling (sport),passing American football (not in game),kinetics-dataset/val/hurling (sport)/mRG0t1BWXxU_000042_000052.mp4,mRG0t1BWXxU,position_end,6599,False
waxing back,waxing chest,kinetics-dataset/val/waxing back/YkpkTy5Xs3w_000043_000053.mp4,YkpkTy5Xs3w,position_end,6894,False
answering questions,shaving head,kinetics-dataset/val/answering questions/5bGElGxGhbs_002934_002944.mp4,5bGElGxGhbs,position_end,4031,False
washing hair,sticking tongue out,kinetics-dataset/val/washing hair/khMaJTS1YgE_000017_000027.mp4,khMaJTS1YgE,position_end,3317,False
windsurfing,windsurfing,kinetics-dataset/val/windsurfing/mdmkxX5z-fA_000060_000070.mp4,mdmkxX5z-fA,position_end,667,True
pole vault,long jump,kinetics-dataset/val/pole vault/-eq5-ZoYv4Y_000006_000016.mp4,-eq5-ZoYv4Y,position_end,1690,False
reading book,texting,kinetics-dataset/val/reading book/STS-nvgZWWM_000011_000021.mp4,STS-nvgZWWM,position_end,4695,False
faceplanting,faceplanting,kinetics-dataset/val/faceplanting/-0ew-c0w7uc_000002_000012.mp4,-0ew-c0w7uc,position_end,1987,True
massaging back,massaging back,kinetics-dataset/val/massaging back/GriF7tGZeuY_000509_000519.mp4,GriF7tGZeuY,position_end,287,True
eating carrots,eating carrots,kinetics-dataset/val/eating carrots/gYAO5IxnTa4_000022_000032.mp4,gYAO5IxnTa4,position_end,1653,True
playing organ,singing,kinetics-dataset/val/playing organ/U6emWTjz4gE_000195_000205.mp4,U6emWTjz4gE,position_end,774,False
hula hooping,dancing gangnam style,kinetics-dataset/val/hula hooping/ghyrOj-64-I_000001_000011.mp4,ghyrOj-64-I,position_end,686,False
sharpening pencil,dying hair,kinetics-dataset/val/sharpening pencil/JvY5s0Ap1f4_000013_000023.mp4,JvY5s0Ap1f4,position_end,1559,False
playing cricket,celebrating,kinetics-dataset/val/playing cricket/-J8NeF13oN0_000017_000027.mp4,-J8NeF13oN0,position_end,2076,False
yoga,yoga,kinetics-dataset/val/yoga/-IeJ0CF3huY_000016_000026.mp4,-IeJ0CF3huY,position_end,5680,True
blowing out candles,blowing out candles,kinetics-dataset/val/blowing out candles/VmdSMhng5y0_000059_000069.mp4,VmdSMhng5y0,position_end,6262,True
cleaning floor,mopping floor,kinetics-dataset/val/cleaning floor/X_Acgnt-6z0_000008_000018.mp4,X_Acgnt-6z0,position_end,2322,False
changing wheel,sharpening knives,kinetics-dataset/val/changing wheel/auHqPVQAz5E_000067_000077.mp4,auHqPVQAz5E,position_end,2499,False
exercising arm,exercising arm,kinetics-dataset/val/exercising arm/6N0uPlyK8ak_000050_000060.mp4,6N0uPlyK8ak,position_end,5654,True
stomping grapes,golf driving,kinetics-dataset/val/stomping grapes/Jps_ov3HZIY_000042_000052.mp4,Jps_ov3HZIY,position_end,2103,False
milking cow,hitting baseball,kinetics-dataset/val/milking cow/Tm6IZIFxl8Q_000046_000056.mp4,Tm6IZIFxl8Q,position_end,1338,False
massaging feet,wrapping present,kinetics-dataset/val/massaging feet/F6AwAGEM-S0_000006_000016.mp4,F6AwAGEM-S0,position_end,5111,False
abseiling,abseiling,kinetics-dataset/val/abseiling/O179fpfn1G4_000040_000050.mp4,O179fpfn1G4,position_end,964,True
swing dancing,swing dancing,kinetics-dataset/val/swing dancing/3SFFYaz5czo_000025_000035.mp4,3SFFYaz5czo,position_end,191,True
playing cymbals,playing cymbals,kinetics-dataset/val/playing cymbals/BHjh7yu7Lzo_000041_000051.mp4,BHjh7yu7Lzo,position_end,2191,True
barbequing,marching,kinetics-dataset/val/barbequing/-43p5IQaY18_000383_000393.mp4,-43p5IQaY18,position_end,5781,False
pumping fist,hockey stop,kinetics-dataset/val/pumping fist/2KjgwQP_-Os_000004_000014.mp4,2KjgwQP_-Os,position_end,1916,False
eating burger,eating burger,kinetics-dataset/val/eating burger/pSspxsM1a9g_000004_000014.mp4,pSspxsM1a9g,position_end,7037,True
planting trees,abseiling,kinetics-dataset/val/planting trees/NfpBY0Xbfqc_000019_000029.mp4,NfpBY0Xbfqc,position_end,6890,False
cooking on campfire,cooking chicken,kinetics-dataset/val/cooking on campfire/pBaEJy6fgF4_000344_000354.mp4,pBaEJy6fgF4,position_end,1799,False
reading book,reading book,kinetics-dataset/val/reading book/KurBYv9Hi6s_000028_000038.mp4,KurBYv9Hi6s,position_end,4701,True
ski jumping,ski jumping,kinetics-dataset/val/ski jumping/T_DximV14OQ_000002_000012.mp4,T_DximV14OQ,position_end,1946,True
eating doughnuts,drinking,kinetics-dataset/val/eating doughnuts/TXCy_lgIeJQ_000158_000168.mp4,TXCy_lgIeJQ,position_end,458,False
laughing,laughing,kinetics-dataset/val/laughing/bEN-M8LaxN4_000051_000061.mp4,bEN-M8LaxN4,position_end,106,True
passing American football (in game),passing American football (in game),kinetics-dataset/val/passing American football (in game)/KlzJI2wQafk_000001_000011.mp4,KlzJI2wQafk,position_end,6545,True
dodgeball,dodgeball,kinetics-dataset/val/dodgeball/Y2hg-xMRifw_000052_000062.mp4,Y2hg-xMRifw,position_end,5282,True
springboard diving,swimming butterfly stroke,kinetics-dataset/val/springboard diving/Glv-SLEJRpM_000002_000012.mp4,Glv-SLEJRpM,position_end,5059,False
filling eyebrows,filling eyebrows,kinetics-dataset/val/filling eyebrows/Ru2Ua8flCvM_000058_000068.mp4,Ru2Ua8flCvM,position_end,2463,True
yawning,scuba diving,kinetics-dataset/val/yawning/iGn7dk9hxN8_000004_000014.mp4,iGn7dk9hxN8,position_end,2288,False
riding a bike,riding a bike,kinetics-dataset/val/riding a bike/hR--iDJcjgU_000069_000079.mp4,hR--iDJcjgU,position_end,1121,True
yoga,dancing ballet,kinetics-dataset/val/yoga/-Gb1pbOE32g_000032_000042.mp4,-Gb1pbOE32g,position_end,5691,False
playing xylophone,playing monopoly,kinetics-dataset/val/playing xylophone/5LnRFlqlV6w_000001_000011.mp4,5LnRFlqlV6w,position_end,5299,False
playing harmonica,dying hair,kinetics-dataset/val/playing harmonica/MdsKfut1Ugk_000020_000030.mp4,MdsKfut1Ugk,position_end,2751,False
skiing crosscountry,skiing crosscountry,kinetics-dataset/val/skiing crosscountry/dlK5iFZwhT4_000372_000382.mp4,dlK5iFZwhT4,position_end,4913,True
playing tennis,giving or receiving award,kinetics-dataset/val/playing tennis/GVK6q6VYAGs_000023_000033.mp4,GVK6q6VYAGs,position_end,5908,False
playing harp,playing harp,kinetics-dataset/val/playing harp/YkGod1DOGsQ_000123_000133.mp4,YkGod1DOGsQ,position_end,3665,True
tap dancing,air drumming,kinetics-dataset/val/tap dancing/9cFlNjI7nNg_000014_000024.mp4,9cFlNjI7nNg,position_end,1253,False
singing,singing,kinetics-dataset/val/singing/FuHOkar7pYA_000026_000036.mp4,FuHOkar7pYA,position_end,5231,True
folding clothes,washing dishes,kinetics-dataset/val/folding clothes/LVhzHoWaJiA_000000_000010.mp4,LVhzHoWaJiA,position_end,2242,False
playing cello,playing cello,kinetics-dataset/val/playing cello/dHKHcgulsiM_000064_000074.mp4,dHKHcgulsiM,position_end,4552,True
vault,pole vault,kinetics-dataset/val/vault/0_obbLl1Zyg_000035_000045.mp4,0_obbLl1Zyg,position_end,6822,False
dining,drinking,kinetics-dataset/val/dining/aCkhItBpSVo_000110_000120.mp4,aCkhItBpSVo,position_end,3546,False
zumba,zumba,kinetics-dataset/val/zumba/RZeatwX9l0o_000248_000258.mp4,RZeatwX9l0o,position_end,1283,True
changing oil,changing oil,kinetics-dataset/val/changing oil/I_pWzPcKBBQ_000033_000043.mp4,I_pWzPcKBBQ,position_end,1348,True
washing hair,washing hair,kinetics-dataset/val/washing hair/Kh166-FNAOQ_000096_000106.mp4,Kh166-FNAOQ,position_end,3324,True
barbequing,barbequing,kinetics-dataset/val/barbequing/hBvYu8rKfXk_000000_000010.mp4,hBvYu8rKfXk,position_end,5789,True
bungee jumping,digging,kinetics-dataset/val/bungee jumping/pTe8T-HL1kw_000139_000149.mp4,pTe8T-HL1kw,position_end,7071,False
shuffling cards,bending metal,kinetics-dataset/val/shuffling cards/cPQEiIvzGUs_000148_000158.mp4,cPQEiIvzGUs,position_end,991,False
exercising arm,exercising arm,kinetics-dataset/val/exercising arm/J_ueNbvilvs_000005_000015.mp4,J_ueNbvilvs,position_end,5650,True
cutting pineapple,cutting pineapple,kinetics-dataset/val/cutting pineapple/aoS_An3ltEI_000010_000020.mp4,aoS_An3ltEI,position_end,1025,True
bending back,passing American football (not in game),kinetics-dataset/val/bending back/V59G2JApoeo_000008_000018.mp4,V59G2JApoeo,position_end,6387,False
tickling,baby waking up,kinetics-dataset/val/tickling/gpVfM7tax9c_000002_000012.mp4,gpVfM7tax9c,position_end,4754,False
crying,crying,kinetics-dataset/val/crying/d4LtT0DR0w4_000020_000030.mp4,d4LtT0DR0w4,position_end,3510,True
slapping,dancing gangnam style,kinetics-dataset/val/slapping/_6PUxb47zJY_000000_000010.mp4,_6PUxb47zJY,position_end,2824,False
drinking shots,dancing gangnam style,kinetics-dataset/val/drinking shots/5XydIroPDng_000000_000010.mp4,5XydIroPDng,position_end,1835,False
abseiling,archery,kinetics-dataset/val/abseiling/BiKRPPjAzvw_000017_000027.mp4,BiKRPPjAzvw,position_end,953,False
cheerleading,folding clothes,kinetics-dataset/val/cheerleading/RLYzsL-bk_Y_000004_000014.mp4,RLYzsL-bk_Y,position_end,4978,False
peeling potatoes,peeling potatoes,kinetics-dataset/val/peeling potatoes/nKdqNcoYumU_000171_000181.mp4,nKdqNcoYumU,position_end,424,True
swinging on something,swinging on something,kinetics-dataset/val/swinging on something/PqhEBVDdbcU_000004_000014.mp4,PqhEBVDdbcU,position_end,4255,True
biking through snow,biking through snow,kinetics-dataset/val/biking through snow/MOBC2AAtq8w_000000_000010.mp4,MOBC2AAtq8w,position_end,1584,True
skiing slalom,skiing (not slalom or crosscountry),kinetics-dataset/val/skiing slalom/RvXnfumvBvQ_000412_000422.mp4,RvXnfumvBvQ,position_end,3575,False
grooming dog,barbequing,kinetics-dataset/val/grooming dog/paI7Ps-2j24_000058_000068.mp4,paI7Ps-2j24,position_end,1411,False
catching or throwing baseball,kicking soccer ball,kinetics-dataset/val/catching or throwing baseball/WuEYX5XWCsw_000002_000012.mp4,WuEYX5XWCsw,position_end,6877,False
windsurfing,sailing,kinetics-dataset/val/windsurfing/HmCUN62Nke0_000201_000211.mp4,HmCUN62Nke0,position_end,663,False
taking a shower,dancing macarena,kinetics-dataset/val/taking a shower/N0S9XCbj20M_000149_000159.mp4,N0S9XCbj20M,position_end,940,False
headbutting,riding unicycle,kinetics-dataset/val/headbutting/pSjc6_p2wD8_000003_000013.mp4,pSjc6_p2wD8,position_end,6422,False
tying knot (not on a tie),tying knot (not on a tie),kinetics-dataset/val/tying knot (not on a tie)/OXWthvBAKAc_000037_000047.mp4,OXWthvBAKAc,position_end,2404,True
playing didgeridoo,playing didgeridoo,kinetics-dataset/val/playing didgeridoo/MCvI6KaKpus_000145_000155.mp4,MCvI6KaKpus,position_end,16,True
water skiing,catching or throwing frisbee,kinetics-dataset/val/water skiing/C6kWeTyMH5U_000003_000013.mp4,C6kWeTyMH5U,position_end,6635,False
eating hotdog,eating burger,kinetics-dataset/val/eating hotdog/WAoaX7rXhFQ_000003_000013.mp4,WAoaX7rXhFQ,position_end,5336,False
passing American football (in game),passing American football (in game),kinetics-dataset/val/passing American football (in game)/K8vBVVe_QSs_000000_000010.mp4,K8vBVVe_QSs,position_end,6540,True
playing piano,playing piano,kinetics-dataset/val/playing piano/9o68AyEWzcM_000081_000091.mp4,9o68AyEWzcM,position_end,2583,True
riding mule,riding or walking with horse,kinetics-dataset/val/riding mule/0x6wV-RDB4A_000017_000027.mp4,0x6wV-RDB4A,position_end,5507,False
carving pumpkin,carving pumpkin,kinetics-dataset/val/carving pumpkin/H4lcLtTEb-E_000015_000025.mp4,H4lcLtTEb-E,position_end,5978,True
arranging flowers,cutting watermelon,kinetics-dataset/val/arranging flowers/04jTKnOYrZw_000076_000086.mp4,04jTKnOYrZw,position_end,3293,False
side kick,side kick,kinetics-dataset/val/side kick/OPjonSK9blk_000018_000028.mp4,OPjonSK9blk,position_end,3747,True
playing paintball,playing paintball,kinetics-dataset/val/playing paintball/fMSj1oCzsMo_000027_000037.mp4,fMSj1oCzsMo,position_end,4344,True
water sliding,water sliding,kinetics-dataset/val/water sliding/_JcZ7Ry_9kg_000003_000013.mp4,_JcZ7Ry_9kg,position_end,6197,True
dancing charleston,dancing macarena,kinetics-dataset/val/dancing charleston/Ax88fQ2PzKw_000028_000038.mp4,Ax88fQ2PzKw,position_end,6249,False
making snowman,making snowman,kinetics-dataset/val/making snowman/VWoXZnizmMI_000221_000231.mp4,VWoXZnizmMI,position_end,5943,True
eating doughnuts,dancing macarena,kinetics-dataset/val/eating doughnuts/odzoy22fTfE_000002_000012.mp4,odzoy22fTfE,position_end,445,False
cleaning gutters,stretching leg,kinetics-dataset/val/cleaning gutters/SxDRDEGz94I_000088_000098.mp4,SxDRDEGz94I,position_end,6847,False
flipping pancake,shining shoes,kinetics-dataset/val/flipping pancake/lNz00plE8HE_000024_000034.mp4,lNz00plE8HE,position_end,5466,False
changing oil,changing oil,kinetics-dataset/val/changing oil/PxpSsYOB4Yk_000029_000039.mp4,PxpSsYOB4Yk,position_end,1344,True
abseiling,abseiling,kinetics-dataset/val/abseiling/3yaoNwz99xM_000062_000072.mp4,3yaoNwz99xM,position_end,962,True
side kick,side kick,kinetics-dataset/val/side kick/mVk6WpXXPgU_000004_000014.mp4,mVk6WpXXPgU,position_end,3729,True
eating chips,smoking,kinetics-dataset/val/eating chips/Sneg5fZKyVg_000011_000021.mp4,Sneg5fZKyVg,position_end,4565,False
catching fish,catching fish,kinetics-dataset/val/catching fish/N1jdOhiJ84Q_000028_000038.mp4,N1jdOhiJ84Q,position_end,2732,True
laughing,laughing,kinetics-dataset/val/laughing/R559estVW2Y_000026_000036.mp4,R559estVW2Y,position_end,103,True
recording music,sniffing,kinetics-dataset/val/recording music/IRd-O2Ii1mU_000088_000098.mp4,IRd-O2Ii1mU,position_end,598,False
reading book,drinking beer,kinetics-dataset/val/reading book/7HjvOjwNXus_000037_000047.mp4,7HjvOjwNXus,position_end,4700,False
making a sandwich,washing hands,kinetics-dataset/val/making a sandwich/iSstKUu4Qs8_000023_000033.mp4,iSstKUu4Qs8,position_end,6121,False
marching,marching,kinetics-dataset/val/marching/9Xc_Kf9gYQU_000451_000461.mp4,9Xc_Kf9gYQU,position_end,889,True
playing organ,playing piano,kinetics-dataset/val/playing organ/PLdphyCuyTw_000034_000044.mp4,PLdphyCuyTw,position_end,764,False
catching fish,catching fish,kinetics-dataset/val/catching fish/c5l0PZGQ2QU_000039_000049.mp4,c5l0PZGQ2QU,position_end,2726,True
